"Song","Artist","Index","Year"
"Given to Fly","Pearl Jam","105","1997"
"Sunshower","Chris Cornell","104","1997"
"Cheapskate","Supergrass","103","1997"
"Graduate","Third Eye Blind","102","1997"
"Bottle Rockets","The Cunninghams","101","1997"
"Around the World","Daft Punk","100","1997"
"Chick Magnet","MxPx","99","1997"
"Touch, Peel And Stand","Days Of The New","98","1997"
"Spin Spin Sugar","Sneaker Pimps","97","1997"
"Soft Serve","Soul Coughing","96","1997"
"All Mine","Portishead","95","1997"
"Battle of Who Could Care Less","Ben Folds Five","94","1997"
"My Hero","Foo Fighters","93","1997"
"Under Your Skin","Luscious Jackson","92","1997"
"Medicine","Orbit","91","1997"
"Move To Bremerton","MxPx","90","1997"
"(Can't You) Trip Like I Do","Filter","89","1997"
"Not If You Were The Last Junkie On Earth","The Dandy Warhols","88","1997"
"Lazy Eye","The Goo Goo Dolls","87","1997"
"Drawer","Summercamp","86","1997"
"Deadweight","Beck","85","1997"
"The Beginning Is The End Is The Beginning - Batman & Robin Soundtrack Version","The Smashing Pumpkins","84","1997"
"Sweet Surrender","Sarah McLachlan","83","1997"
"Let Down","Radiohead","82","1997"
"Untrustable (Pt. 2) [About Someone Else]","Built To Spill","81","1997"
"Believe","GusGus","80","1997"
"Never Say Never","that dog.","79","1997"
"Dammit","blink-182","78","1997"
"Dopeman","Less Than Jake","77","1997"
"The Day Brings","Brad","76","1997"
"The Meaning Of Life","The Offspring","75","1997"
"Excuse Me Mr.","No Doubt","74","1997"
"The Ghost of Tom Joad","Rage Against The Machine","73","1997"
"Alright - Remastered 2013","Jamiroquai","72","1997"
"Brimful of Asha","Cornershop","71","1997"
"Good Riddance (Time of Your Life)","Green Day","70","1997"
"D'You Know What I Mean? - Remastered","Oasis","69","1997"
"Mouth - 2014 Remastered","Bush","68","1997"
"Firestarter","The Prodigy","67","1997"
"Sell Out","Reel Big Fish","66","1997"
"3AM","Matchbox Twenty","65","1997"
"Female of the Species","Space","64","1997"
"I'm Afraid of Americans","David Bowie","63","1997"
"Precious Declaration","Collective Soul","62","1997"
"Villains","The Verve Pipe","61","1997"
"How's It Going to Be","Third Eye Blind","60","1997"
"Hell","Squirrel Nut Zippers","59","1997"
"Jack-Ass","Beck","58","1997"
"Barrel of a Gun - 2007 Remaster","Depeche Mode","57","1997"
"Devils Haircut","Beck","56","1997"
"Discotheque","U2","55","1997"
"H.","TOOL","54","1997"
"I Choose","The Offspring","53","1997"
"Abuse Me","Silverchair","52","1997"
"It's No Good","Depeche Mode","51","1997"
"The Difference","The Wallflowers","50","1997"
"Lovefool","The Cardigans","49","1997"
"Turn My Head","Live","48","1997"
"The Perfect Drug","Nine Inch Nails","47","1997"
"Freaks","Live","46","1997"
"Wrong Number - Single Mix","The Cure","45","1997"
"Block Rockin' Beats","The Chemical Brothers","44","1997"
"Freak","Silverchair","43","1997"
"Doin' Time","Sublime","42","1997"
"Brick","Ben Folds Five","41","1997"
"Superman's Dead","Our Lady Peace","40","1997"
"Hitchin' a Ride","Green Day","39","1997"
"You Were Meant For Me","Jewel","38","1997"
"Naked Eye","Luscious Jackson","37","1997"
"Lakini's Juice","Live","36","1997"
"Swallowed - 2014 Remastered","Bush","35","1997"
"Staring At The Sun","U2","34","1997"
"Bitter Sweet Symphony - Remastered 2016","The Verve","33","1997"
"Bitch","Meredith Brooks","32","1997"
"Your Woman","White Town","31","1997"
"Don't Go Away","Oasis","30","1997"
"#1 Crush","Garbage","29","1997"
"Volcano Girls","Veruca Salt","28","1997"
"Sex & Candy","Marcy Playground","27","1997"
"A Long December","Counting Crows","26","1997"
"6 Underground","Sneaker Pimps","25","1997"
"What I Got","Sublime","24","1997"
"Breathe","The Prodigy","23","1997"
"Greedy Fly - 2014 Remastered","Bush","22","1997"
"Eye","The Smashing Pumpkins","21","1997"
"Everything To Everyone","Everclear","20","1997"
"Gone Away - 1997","The Offspring","19","1997"
"Not An Addict","K's Choice","18","1997"
"One Headlight","The Wallflowers","17","1997"
"The New Pollution","Beck","16","1997"
"If You Could Only See","Tonic","15","1997"
"Monkey Wrench","Foo Fighters","14","1997"
"Wrong Way","Sublime","13","1997"
"Tubthumping","Chumbawamba","12","1997"
"Push","Matchbox Twenty","11","1997"
"Building a Mystery","Sarah McLachlan","10","1997"
"The Freshmen","The Verve Pipe","9","1997"
"Crash into Me","Dave Matthews Band","8","1997"
"Song 2","Blur","7","1997"
"Fly (feat. Super Cat)","Sugar Ray","6","1997"
"Santeria","Sublime","5","1997"
"Walking on the Sun - Live","Smash Mouth","4","1997"
"Semi-Charmed Life","Third Eye Blind","3","1997"
"The Impression That I Get","The Mighty Mighty Bosstones","2","1997"
"Everlong","Foo Fighters","1","1997"
